TIMESTAMP,DELAY,ACCURACY,CURRENT,REWARD,ACTION_NUMBER,ACTION_NAME,TASKS
1670266752.7891238,0.00904583931,0.27,3022.0,98.41049524444713,20,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.]
1670266796.5875323,2.95097452,0.53,3023.0,7.935752417984717e-05,25,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.]
1670266808.3570218,0.00234586,0.665,3023.0,96.6915789877614,20,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.]
1670266834.2693346,0.0588285327,0.505,3024.0,96.62776265508477,13,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.]
1670266866.8806987,0.0039704442,0.8,3024.0,95.66627425656766,23,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.]
1670266893.822049,0.0878938437,0.535,3025.0,95.77113719882104,13,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.]
1670266927.9661293,0.120594621,0.7350000000000001,3025.0,92.57951568970158,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.]
1670266954.4039853,0.00416120887,0.315,3026.0,98.30693567858513,2,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.]
1670266987.492207,0.0641302466,0.22,3026.0,97.99984311835576,1,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.]
1670267013.8624525,0.00560498238,0.33,3027.0,98.23986621053673,14,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.]
1670267046.4612722,0.00908577442,0.45,3027.0,97.7271337098493,17,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.]
1670267079.6762097,0.0656263828,0.405,3028.0,97.09998218541125,1,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.]
1670267105.9737418,0.00817656517,0.37,3028.0,98.065379513097,11,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.]
1670267139.0159926,0.152360559,0.625,3029.0,92.75566967550952,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.]
1670267165.8463504,0.0124424696,0.195,3029.0,98.59260839261388,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.]
1670267235.9583795,0.00310838223,0.635,3031.0,96.84316728907298,8,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.]
1670267241.5514708,0.00398656726,0.31,3031.0,98.318051177758,2,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.]
1670267284.0658145,0.00817656517,0.175,3033.0,98.67624963452354,11,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[0. 1.]
1670267293.0423656,0.171490371,0.245,3033.0,96.051286890954,27,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0. 1.]
1670267318.7588575,0.0104651451,0.455,3033.0,97.67436021218128,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.]
1670267345.543501,0.0125998259,0.35,3034.0,98.08095635400178,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.]
1670267401.8868375,0.0728982091,0.52,3035.0,96.19955438151906,31,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[0. 1.]
