TIME,IP_TOT_RECV_PKTS,IP_FWD,IP_UNK,IP_IN_PKTS_DISC,IP_IN_PKTS_DEL,IP_REQ_SENT,IP_OUT_PKTS_DROP,TCP_ACT_CONN,TCP_PASS_CONN,TCP_FAIL_CONN_ATTMP,TCP_CONN_RES_RECV,TCP_CONN_ESTAB,TCP_SEGM_RECV,TCP_SEGM_SENT,TCP_SEGM_RETANS,TCP_BAD_SEGM_RECV,TCP_REST_SENT,WLAN0_RX_BYTES,WLAN0_RX_PKTS,WLAN0_RX_ERR,WLAN0_RX_DROP,WLAN0_RX_OVERRUN,WLAN0_RX_MCAST,WLAN0_TX_BYTES,WLAN0_TX_PKTS,WLAN0_TX_ERR,WLAN0_TX_DROP,WLAN0_TX_OVERRUN,WLAN0_TX_MCAST
1670263006.8489008,94951,0,0,94041,78171,20,1,84217,92286,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263006.9419515,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.0331886,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.1198015,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.206877,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.2960842,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.3831096,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.4785352,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.5682406,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.6547322,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.7399063,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.8249114,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.9096148,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263007.9944973,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.0801573,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.166589,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.2545888,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.3407965,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.4258947,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.5108182,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.597654,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.6828039,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.7683172,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.8549716,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263008.942276,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.0282142,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.1138213,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.1985512,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.2837539,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.3692055,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.4552097,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.5410707,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.631128,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.71792,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.803107,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.8881125,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263009.9732943,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.0583818,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.1439357,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.2300947,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.316887,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.4036348,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.4894013,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.5751374,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.6609266,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.7459006,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.831147,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263010.9165986,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.003342,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.0942833,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.1801353,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.265387,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.350572,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.4363756,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.5214243,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.6067755,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.6938903,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.7810502,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.8663802,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263011.9515686,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.0367908,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.1224,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.2075503,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.2930686,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.3807807,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.4679503,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.5538647,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.6395302,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.7244565,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.8097448,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.895251,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263012.980481,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.069764,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.1572561,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.243221,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.3284318,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.4136026,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.4988177,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.5843413,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.6699717,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.7586184,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.847179,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263013.934931,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.020342,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.1053398,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.191521,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.2764733,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.361825,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.4479022,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.5358038,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.6228251,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.7087255,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.794029,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.8792112,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263014.9643872,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263015.0493336,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263015.1361887,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
1670263015.2239258,94952,0,0,94042,78172,20,1,84218,92287,2850,0,3,11321005,86636,0,1,0,0,65766409,91774,0,0,0,0,,,,,
