TIME,CPU_LOAD,GPU_LOAD,MEM,SWAP,CURR,TEMP_CPU,TEMP_GPU
1670029461.6976023,75.28571428571429,0,85.48634146341463,0.0,336.0,52.5,48.0
1670029462.211324,48.714285714285715,0,85.28243902439024,0.0,254.0,52.0,48.0
1670029462.7550964,41.57142857142857,0,85.25736585365854,0.0,288.0,51.5,48.0
1670029463.2582314,44.42857142857143,0,85.2710243902439,0.0,260.0,51.0,48.0
1670029463.7929528,39.857142857142854,0,85.24253658536585,0.0,276.0,52.0,48.0
1670029464.308947,41.57142857142857,0,85.26546341463414,0.0,252.0,51.5,47.5
1670029464.8417907,41.42857142857143,0,85.26848780487805,0.0,248.0,51.5,48.0
1670029465.3577936,40.142857142857146,0,85.28409756097561,0.0,250.0,51.5,48.0
1670029465.8814487,41.142857142857146,0,85.23082926829268,0.0,270.0,51.5,48.0
1670029466.397706,42.42857142857143,0,85.27287804878048,0.0,262.0,51.5,48.0
1670029466.9299352,37.57142857142857,0,85.26321951219512,0.0,282.0,52.0,48.0
1670029467.448805,37.0,0,85.25219512195122,0.0,252.0,51.5,48.0
1670029467.9861562,46.0,0,85.5190243902439,0.0,292.0,52.0,48.0
1670029468.4934814,50.0,0,84.86897560975609,0.0,254.0,51.5,48.0
1670029469.0297232,40.285714285714285,0,84.9010731707317,0.0,276.0,51.5,47.5
1670029469.545464,43.714285714285715,0,84.85365853658536,0.0,256.0,51.5,48.0
1670029470.0750384,38.714285714285715,0,84.83512195121952,0.0,278.0,51.5,48.0
1670029470.5904024,44.0,0,84.836,0.0,248.0,51.5,48.0
1670029471.113676,40.142857142857146,0,84.88214634146341,0.0,264.0,51.5,48.0
1670029471.6408975,52.857142857142854,0,85.58643902439024,0.0,280.0,51.5,48.0
1670029472.1833751,50.42857142857143,0,88.28204878048781,0.0,290.0,52.0,48.0
1670029472.6894088,66.57142857142857,2,88.84663414634146,0.0,300.0,52.0,48.0
1670029473.2275078,54.142857142857146,2,91.54048780487804,0.0,306.0,52.0,48.0
1670029473.732526,65.14285714285714,2,94.8149268292683,0.0,276.0,52.5,48.5
1670029474.2815926,53.42857142857143,0,98.4470243902439,0.0,316.0,52.0,48.0
1670029474.7895303,57.142857142857146,0,99.13063414634146,0.0,276.0,52.5,48.0
1670029475.3083,48.857142857142854,1,102.03278048780489,0.0,318.0,52.0,48.0
1670029475.8370714,56.142857142857146,1,104.61034146341464,0.0,300.0,52.5,48.5
1670029476.3545592,45.42857142857143,1,106.71248780487805,0.0,282.0,52.5,48.5
1670029476.891458,56.57142857142857,1,109.6150243902439,0.0,306.0,52.5,48.0
1670029477.4085968,51.285714285714285,2,112.83756097560975,0.0,316.0,52.0,48.5
1670029477.9657803,55.42857142857143,0,113.10614634146341,0.0,336.0,52.5,48.5
1670029478.445081,57.0,0,112.87687804878048,0.0,292.0,51.5,48.5
1670029478.9763608,46.57142857142857,0,112.9449756097561,0.0,302.0,52.0,48.5
1670029479.4891653,44.714285714285715,0,112.94936585365853,0.0,244.0,51.5,48.0
1670029480.0201337,42.285714285714285,0,113.00399999999999,0.0,272.0,52.0,48.5
1670029480.5332882,44.714285714285715,0,112.90839024390245,0.0,252.0,52.0,48.0
1670029481.0685484,40.42857142857143,0,112.95375609756097,0.0,272.0,52.0,48.5
1670029481.6014824,43.857142857142854,0,112.93834146341464,0.0,272.0,51.5,48.0
1670029482.1185026,39.857142857142854,0,112.94946341463414,0.0,268.0,52.0,48.5
1670029482.6322496,41.42857142857143,0,112.97141463414636,0.0,248.0,51.5,48.0
1670029483.168097,41.142857142857146,0,112.95473170731707,0.0,274.0,52.0,48.5
1670029483.6768098,43.0,0,112.97180487804879,0.0,236.0,52.0,48.5
1670029484.2090187,40.0,0,112.93170731707316,0.0,286.0,52.0,48.5
1670029484.7225494,43.57142857142857,0,112.94448780487805,0.0,250.0,51.5,48.0
1670029485.257057,37.285714285714285,0,112.93882926829268,0.0,274.0,52.0,48.0
1670029485.7706041,44.285714285714285,0,112.90243902439023,0.0,250.0,51.5,48.0
1670029486.305819,40.0,0,112.94087804878048,0.0,260.0,52.0,48.0
1670029486.816648,46.142857142857146,0,112.93580487804877,0.0,244.0,52.0,48.5
1670029487.353827,39.57142857142857,0,112.9690731707317,0.0,280.0,52.0,48.5
1670029487.8657537,45.857142857142854,0,112.96107317073172,0.0,252.0,52.0,48.0
1670029488.399386,37.857142857142854,0,112.97092682926831,0.0,262.0,52.0,48.0
1670029488.9009044,42.57142857142857,0,112.92019512195122,0.0,256.0,51.5,48.0
1670029489.445154,35.57142857142857,0,112.94995121951219,0.0,254.0,51.5,48.0
1670029489.9556909,43.857142857142854,0,112.94917073170731,0.0,236.0,51.5,48.5
1670029490.4870272,39.0,0,112.97053658536585,0.0,266.0,52.0,48.0
