TIME,IP_TOT_RECV_PKTS,IP_FWD,IP_UNK,IP_IN_PKTS_DISC,IP_IN_PKTS_DEL,IP_REQ_SENT,IP_OUT_PKTS_DROP,TCP_ACT_CONN,TCP_PASS_CONN,TCP_FAIL_CONN_ATTMP,TCP_CONN_RES_RECV,TCP_CONN_ESTAB,TCP_SEGM_RECV,TCP_SEGM_SENT,TCP_SEGM_RETANS,TCP_BAD_SEGM_RECV,TCP_REST_SENT,WLAN0_RX_BYTES,WLAN0_RX_PKTS,WLAN0_RX_ERR,WLAN0_RX_DROP,WLAN0_RX_OVERRUN,WLAN0_RX_MCAST,WLAN0_TX_BYTES,WLAN0_TX_PKTS,WLAN0_TX_ERR,WLAN0_TX_DROP,WLAN0_TX_OVERRUN,WLAN0_TX_MCAST
1669948916.4172716,62991,2,0,0,62987,51490,585,1,4,52133,138528,1957,1,4818761,53695,0,0,0,0,196098754,140093,0,0,0,0,,,,
1669948916.4933581,62992,2,0,0,62988,51491,585,1,4,52134,138529,1957,1,4818827,53696,0,0,0,0,196098754,140093,0,0,0,0,,,,
1669948916.5681205,62992,2,0,0,62988,51491,585,1,4,52134,138529,1957,1,4818827,53696,0,0,0,0,196098754,140093,0,0,0,0,,,,
1669948916.640185,62992,2,0,0,62988,51491,585,1,4,52134,138529,1957,1,4818827,53696,0,0,0,0,196098754,140093,0,0,0,0,,,,
1669948916.7128558,62992,2,0,0,62988,51491,585,1,4,52134,138529,1957,1,4818827,53696,0,0,0,0,196098754,140093,0,0,0,0,,,,
1669948916.789013,62992,2,0,0,62988,51491,585,1,4,52134,138529,1957,1,4818893,53697,0,0,0,0,196098916,140094,0,0,0,0,,,,
1669948916.8625703,62993,2,0,0,62989,51492,585,1,4,52135,138530,1957,1,4818893,53697,0,0,0,0,196098916,140094,0,0,0,0,,,,
1669948916.9386816,62993,2,0,0,62989,51492,585,1,4,52135,138530,1957,1,4818893,53697,0,0,0,0,196098916,140094,0,0,0,0,,,,
1669948917.0133362,62993,2,0,0,62989,51492,585,1,4,52135,138530,1957,1,4818893,53697,0,0,0,0,196098916,140094,0,0,0,0,,,,
1669948917.085912,62993,2,0,0,62989,51492,585,1,4,52135,138530,1957,1,4818893,53697,0,0,0,0,196098916,140094,0,0,0,0,,,,
