TIMESTAMP,DELAY,ACCURACY,CURRENT,REWARD,ACTION_NUMBER,ACTION_NAME,TASKS,TASKS_DISPATCHED,INPUT_QUEUE
1669948943.340084,8.272071719169617,0.38,348.0,2.311743276781022,27,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],1.0,1
1669948952.7614362,1.8622130155563354,0.43499999999999994,314.0,37.73619994464813,5,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669948981.4809275,0.5689578056335449,0.27,300.0,54.495724710850425,23,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669949021.0122972,5.839098691940308,0.16499999999999998,314.0,7.85507208671708,12,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1669949049.1660726,5.257400274276733,0.265,342.0,9.821196745199162,6,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949072.8009667,0.41491150856018066,0.8300000000000001,306.0,54.8260984721474,35,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949104.796865,3.025068163871765,0.5,318.0,25.090035698400527,16,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669949131.1274214,0.5760295391082764,0.525,280.0,54.41152706352229,2,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669949160.252982,0.11636674404144287,0.9099999999999999,302.0,58.4202036238457,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1669949190.6797833,0.8191303014755249,0.245,316.0,50.930315134641,1,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949223.6028552,0.9235543012619019,0.52,294.0,49.64275680057098,20,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669949252.9150739,0.6114929914474487,0.6499999999999999,304.0,52.894763470666184,5,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669949281.7216122,0.04828345775604248,0.48,316.0,59.848109582004284,13,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669949310.5548868,0.6060762405395508,0.24000000000000002,302.0,54.04595055887885,20,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669949375.5336614,17.981279969215393,0.645,290.0,0.01934061792418914,21,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,2
1669949379.760532,0.08006525039672852,0.44,288.0,60.4236020538813,1,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949411.8369534,6.061713814735413,0.475,324.0,6.80313044824482,12,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1669949441.1449785,5.760977387428284,0.2,328.0,7.983498083979976,12,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1669949461.9403315,0.9102998971939087,0.75,300.0,49.04124061392936,5,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1669949491.768832,0.05381155014038086,0.545,306.0,59.93354198692473,13,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669949520.6099217,0.3776545524597168,0.595,282.0,56.62443934566275,11,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669949550.4673178,0.048708200454711914,0.575,308.0,59.86118221639779,13,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669949584.4427817,0.38895487785339355,0.48,308.0,55.94822400924453,14,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949613.345402,0.4619239568710327,0.44500000000000006,314.0,54.94340218278144,17,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949642.1528811,0.41228950023651123,0.48500000000000004,324.0,55.14128661465739,17,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669949671.7138126,0.6742011308670044,0.375,260.0,54.201974470439765,7,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0.5 0.5],2.0,0
1669949833.3652675,66.3314174413681,0.28500000000000003,306.0,6.225602584129093e-13,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,9
1669949838.1438055,1.3947054147720337,0.65,342.0,41.96028384251959,4,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,7
1669949843.5493972,1.0911998748779297,0.615,322.0,46.418390035385116,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,5
1669949848.0228906,1.1532219648361206,0.62,288.0,46.71893441874098,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,3
1669949853.4390554,1.1093580722808838,0.42000000000000004,304.0,47.25246126235923,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,2
1669949864.1452074,4.309097409248352,0.48,294.0,15.406583516039463,11,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669949886.2130356,2.5895971059799194,0.8049999999999999,306.0,29.086307898640545,5,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],4.0,0
1669949915.5698256,1.2589555978775024,0.47,318.0,44.82460632391883,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,0
1669949957.541146,8.447224140167236,0.645,330.0,2.1149167167615897,34,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669949982.7164865,5.553899049758911,0.64,310.0,8.611861746025626,21,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,0
1669950004.1456265,1.2245523929595947,0.36500000000000005,314.0,45.6378668935226,7,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,0
1669950033.96881,1.3641939163208008,0.53,262.0,45.15068769918019,25,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,0
1669950077.558175,8.181455254554749,0.495,304.0,2.5244928156677813,8,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669950102.2350292,5.163544058799744,0.595,298.0,10.462003898628044,16,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,0
1669950121.5881813,0.1174546480178833,0.43999999999999995,320.0,58.98696446431473,35,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950156.14602,0.1191331148147583,0.46499999999999997,314.0,59.092234189403435,24,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950199.0027366,8.997795939445496,0.355,312.0,1.6990110964710918,18,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669950216.4248114,0.720129132270813,0.51,356.0,50.22338436032938,6,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950258.7868276,8.582524538040161,0.515,308.0,2.0608581561157515,3,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669950273.5816643,0.8331197500228882,0.24000000000000002,312.0,50.896163554187076,14,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950302.2675087,0.37979698181152344,0.505,358.0,54.414411385281106,19,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950336.9359472,2.301662802696228,0.565,280.0,33.40563193263498,23,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],4.0,0
1669950366.4474845,0.6643561124801636,0.9299999999999999,350.0,50.06285625319371,4,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950396.6860938,0.07502174377441406,0.5549999999999999,352.0,58.22744672747149,4,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669950437.1321425,7.211328387260437,0.46499999999999997,334.0,3.901700768237932,18,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0.5 0.5],2.0,1
1669950463.7739732,5.855802536010742,0.47500000000000003,340.0,7.3448275549942075,30,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1669950495.7206585,6.513108015060425,0.38,344.0,5.420927050031161,12,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,1
1669950524.5569148,5.916630029678345,0.455,366.0,6.935526620073813,12,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1669950546.5679255,0.4082409143447876,0.415,318.0,55.55441827440721,25,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
