TIME,CPU_LOAD,GPU_LOAD,MEM,SWAP,CURR,TEMP_CPU,TEMP_GPU
1670272678.7611678,72.5,0,17.581170731707317,0.0146,3158,41.5,42.5
1670272679.2625573,76.0,0,17.384,0.0146,3158,41.0,39.5
1670272679.7812586,61.0,0,17.402146341463414,0.0146,3158,40.5,39.5
1670272680.2916028,56.0,0,17.42887804878049,0.0146,3158,40.5,42.0
1670272680.7921922,57.0,0,17.353560975609756,0.0146,3158,40.5,42.0
1670272681.2998981,59.5,0,17.39560975609756,0.0146,3158,40.0,41.5
1670272681.8180943,60.5,0,17.42078048780488,0.0146,3158,41.0,42.0
1670272682.3248484,52.75,0,17.368780487804877,0.0146,3158,40.5,41.5
1670272682.8188636,61.5,0,17.38429268292683,0.0146,3158,41.0,42.0
1670272683.3235946,60.0,0,17.385853658536586,0.0146,3158,40.5,42.0
1670272683.8420491,56.25,0,17.444878048780488,0.0146,3158,41.0,42.0
1670272684.3395946,56.75,0,17.404,0.0146,3158,40.5,42.0
1670272684.8527517,60.25,0,17.386243902439023,0.0146,3158,40.5,42.0
1670272685.3590057,60.5,0,17.429268292682927,0.0146,3158,40.5,41.5
1670272685.8683174,54.75,0,17.410634146341465,0.0146,3158,41.0,41.5
1670272686.3745015,57.75,0,17.367219512195124,0.0146,3158,40.0,41.5
1670272686.883864,60.25,0,17.39560975609756,0.0146,3158,40.5,41.5
1670272687.3940303,59.5,0,17.440975609756098,0.0146,3158,40.5,42.0
1670272687.9035745,55.25,0,17.382341463414633,0.0146,3158,40.0,41.5
1670272688.4224586,60.75,0,17.536585365853657,0.0146,3158,40.5,41.5
1670272688.9269352,81.0,0,18.738341463414635,0.0146,3158,41.5,42.5
1670272689.4666119,67.0,0,20.068,0.0146,3158,40.5,39.5
1670272689.9612887,72.0,0,21.436780487804878,0.0146,3159,41.0,40.0
1670272690.4548464,78.0,10,23.26741463414634,0.0146,3159,41.5,40.0
1670272690.9630253,74.25,20,24.975609756097562,0.0146,3159,41.0,40.0
1670272691.4819338,72.75,5,26.958926829268293,0.0146,3159,41.0,40.0
1670272691.994592,74.5,1,29.266048780487804,0.0146,3159,41.0,39.5
1670272692.4948282,73.25,1,30.424390243902437,0.0146,3159,40.5,39.5
1670272693.0090091,74.0,0,31.792097560975606,0.0146,3159,41.0,39.5
