TIMESTAMP,STATE,ACTION,REWARD,NEXT_STATE
1670038289.9248662,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",29,57.960714536688215,"[4.94285714e+01 7.85215610e+01 0.00000000e+00 7.85215610e+01
 2.98000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00853920e-01 2.18467723e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18461702e+05 1.59795468e+05 3.14200000e+03
 2.00000000e+00 3.12765957e+00 1.71066106e+05 5.15675404e+05
 7.24900000e+03 1.00000000e+00 2.41896283e+07 1.81621340e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34301963e+08 5.20460149e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038314.392336,"[4.94285714e+01 7.85215610e+01 0.00000000e+00 7.85215610e+01
 2.98000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00853920e-01 2.18467723e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18461702e+05 1.59795468e+05 3.14200000e+03
 2.00000000e+00 3.12765957e+00 1.71066106e+05 5.15675404e+05
 7.24900000e+03 1.00000000e+00 2.41896283e+07 1.81621340e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34301963e+08 5.20460149e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",19,22.758873113914305,"[6.50000000e+01 1.08962244e+02 0.00000000e+00 1.08962244e+02
 2.92000000e+02 2.00000000e+00 0.00000000e+00 1.00000000e+00
 3.63292198e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 7.66716540e-01 2.18475548e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18469548e+05 1.59801575e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71072945e+05 5.15685945e+05
 7.24900000e+03 1.00000000e+00 2.41901543e+07 1.81628959e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34311559e+08 5.20472000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038349.023322,"[6.50000000e+01 1.08962244e+02 0.00000000e+00 1.08962244e+02
 2.92000000e+02 2.00000000e+00 0.00000000e+00 1.00000000e+00
 3.63292198e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 7.66716540e-01 2.18475548e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18469548e+05 1.59801575e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71072945e+05 5.15685945e+05
 7.24900000e+03 1.00000000e+00 2.41901543e+07 1.81628959e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34311559e+08 5.20472000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",30,9.614006840724992,"[7.45714286e+01 1.09631317e+02 0.00000000e+00 1.09631317e+02
 3.30000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.57561040e+00 2.18551875e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18545875e+05 1.59887875e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71089900e+05 5.15710900e+05
 7.24900000e+03 1.00000000e+00 2.42041974e+07 1.81655900e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34316784e+08 5.20500900e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038369.2655082,"[7.45714286e+01 1.09631317e+02 0.00000000e+00 1.09631317e+02
 3.30000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.57561040e+00 2.18551875e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18545875e+05 1.59887875e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71089900e+05 5.15710900e+05
 7.24900000e+03 1.00000000e+00 2.42041974e+07 1.81655900e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34316784e+08 5.20500900e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",35,56.110737101844855,"[4.31428571e+01 1.09439902e+02 0.00000000e+00 1.09439902e+02
 3.06000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 3.41095924e-02 2.18563500e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18557500e+05 1.59901000e+05 3.14200000e+03
 2.00000000e+00 3.50000000e+00 1.71100500e+05 5.15723000e+05
 7.24900000e+03 1.00000000e+00 2.42056215e+07 1.81671500e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34319174e+08 5.20519500e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038401.1248183,"[4.31428571e+01 1.09439902e+02 0.00000000e+00 1.09439902e+02
 3.06000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 3.41095924e-02 2.18563500e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18557500e+05 1.59901000e+05 3.14200000e+03
 2.00000000e+00 3.50000000e+00 1.71100500e+05 5.15723000e+05
 7.24900000e+03 1.00000000e+00 2.42056215e+07 1.81671500e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34319174e+08 5.20519500e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",31,60.47422190552577,"[4.91428571e+01 1.09402732e+02 0.00000000e+00 1.09402732e+02
 3.10000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.46016979e-02 2.18671979e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18665979e+05 1.59961979e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71209000e+05 5.15996000e+05
 7.24900000e+03 1.00000000e+00 2.42127460e+07 1.81777000e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34723497e+08 5.20788000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038428.9434762,"[4.91428571e+01 1.09402732e+02 0.00000000e+00 1.09402732e+02
 3.10000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.46016979e-02 2.18671979e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18665979e+05 1.59961979e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71209000e+05 5.15996000e+05
 7.24900000e+03 1.00000000e+00 2.42127460e+07 1.81777000e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34723497e+08 5.20788000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",7,60.127331477664434,"[5.00000000e+01 1.09640195e+02 0.00000000e+00 1.09640195e+02
 3.12000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.40119100e-02 2.18674857e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18668857e+05 1.59964857e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71212000e+05 5.15999000e+05
 7.24900000e+03 1.00000000e+00 2.42129440e+07 1.81780000e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34724279e+08 5.20791000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038462.066985,"[5.00000000e+01 1.09640195e+02 0.00000000e+00 1.09640195e+02
 3.12000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.40119100e-02 2.18674857e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18668857e+05 1.59964857e+05 3.14200000e+03
 2.00000000e+00 3.00000000e+00 1.71212000e+05 5.15999000e+05
 7.24900000e+03 1.00000000e+00 2.42129440e+07 1.81780000e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.34724279e+08 5.20791000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",23,52.75237155244409,"[4.81428571e+01 1.09624195e+02 0.00000000e+00 1.09624195e+02
 3.18000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 4.00000000e+00 1.00000000e+00 0.00000000e+00
 1.27567053e-02 2.18784976e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18778976e+05 1.60038634e+05 3.14200000e+03
 2.00000000e+00 3.41463415e+00 1.71323512e+05 5.16411805e+05
 7.24965854e+03 1.00000000e+00 2.42207709e+07 1.81893415e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35333003e+08 5.21210878e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038489.1420166,"[4.81428571e+01 1.09624195e+02 0.00000000e+00 1.09624195e+02
 3.18000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 4.00000000e+00 1.00000000e+00 0.00000000e+00
 1.27567053e-02 2.18784976e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18778976e+05 1.60038634e+05 3.14200000e+03
 2.00000000e+00 3.41463415e+00 1.71323512e+05 5.16411805e+05
 7.24965854e+03 1.00000000e+00 2.42207709e+07 1.81893415e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35333003e+08 5.21210878e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",13,60.200874654543746,"[5.02857143e+01 1.09607317e+02 0.00000000e+00 1.09607317e+02
 2.98000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 3.14118266e-02 2.18897750e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18891750e+05 1.60151583e+05 3.14891667e+03
 2.00000000e+00 3.00000000e+00 1.71358917e+05 5.16566833e+05
 7.25991667e+03 1.00000000e+00 2.42237845e+07 1.81931917e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35537077e+08 5.21357000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038522.6902409,"[5.02857143e+01 1.09607317e+02 0.00000000e+00 1.09607317e+02
 2.98000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.09977671e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 3.14118266e-02 2.18897750e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18891750e+05 1.60151583e+05 3.14891667e+03
 2.00000000e+00 3.00000000e+00 1.71358917e+05 5.16566833e+05
 7.25991667e+03 1.00000000e+00 2.42237845e+07 1.81931917e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35537077e+08 5.21357000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",22,44.33019440763862,"[6.08571429e+01 1.11920293e+02 0.00000000e+00 1.11920293e+02
 3.12000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.63043187e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 6.02058768e-02 2.18932644e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18926644e+05 1.60194222e+05 3.15000000e+03
 2.00000000e+00 3.17777778e+00 1.71369333e+05 5.16582622e+05
 7.26406667e+03 1.00000000e+00 2.42298585e+07 1.81946111e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35540266e+08 5.21374000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
1670038561.4814513,"[6.08571429e+01 1.11920293e+02 0.00000000e+00 1.11920293e+02
 3.12000000e+02 3.00000000e+00 0.00000000e+00 1.00000000e+00
 3.63043187e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 6.02058768e-02 2.18932644e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18926644e+05 1.60194222e+05 3.15000000e+03
 2.00000000e+00 3.17777778e+00 1.71369333e+05 5.16582622e+05
 7.26406667e+03 1.00000000e+00 2.42298585e+07 1.81946111e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35540266e+08 5.21374000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",18,6.178808200144152,"[6.31428571e+01 1.11959610e+02 0.00000000e+00 1.11959610e+02
 2.88000000e+02 4.00000000e+00 0.00000000e+00 1.00000000e+00
 4.03091335e+01 2.00000000e+00 1.00000000e+00 0.00000000e+00
 2.81307822e+00 2.18968295e+05 4.00000000e+00 0.00000000e+00
 0.00000000e+00 2.18962295e+05 1.60236432e+05 3.15000000e+03
 2.00000000e+00 3.03409091e+00 1.71381136e+05 5.16599205e+05
 7.26700000e+03 1.00000000e+00 2.42384674e+07 1.81966205e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.35544328e+08 5.21398227e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
