TIMESTAMP,DELAY,ACCURACY,CURRENT,REWARD,ACTION_NUMBER,ACTION_NAME,TASKS,TASKS_DISPATCHED,INPUT_QUEUE
1669962967.2225595,3.357086658477783,0.55,346.0,21.404339327136768,18,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],1.0,1
1669963015.9505203,17.073397636413574,0.335,344.0,0.029306758402071767,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,2
1669963024.4930954,3.393944501876831,0.505,334.0,21.42883848391439,19,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1669963044.3597023,0.05025184154510498,0.46,320.0,59.7492481765906,31,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669963074.81832,1.329918384552002,0.06999999999999999,312.0,45.12679574369709,26,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669963106.4902139,0.6968591213226318,0.645,272.0,52.86592389796325,16,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669963135.4926078,0.4506494998931885,0.6599999999999999,304.0,54.868077889116805,29,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669963164.8693879,0.8799645900726318,0.49,324.0,49.301129167442205,1,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0.5 0.5],2.0,0
1669963197.5694265,2.464123487472534,0.43,306.0,31.19627520647887,20,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],4.0,0
1669963238.9850423,7.7829331159591675,0.54,372.0,2.803191250878621,8,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669963254.5396543,0.8558671474456787,0.565,364.0,48.13361796877961,9,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669963287.892756,0.08577573299407959,0.6950000000000001,292.0,59.620167081857375,14,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669963316.5059807,0.6578813791275024,0.4,300.0,53.06749734281492,6,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1669963358.7479777,7.469809055328369,0.44499999999999995,346.0,3.40072032529385,29,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669963388.8915296,7.5613473653793335,0.7949999999999999,296.0,3.3463925797708947,3,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,1
1669963437.214085,16.71600377559662,0.515,318.0,0.03558007043550916,27,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,2
1669963471.3499353,16.260480761528015,0.25,338.0,0.04471525661637939,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,2
1669963507.5961347,17.24618148803711,0.6950000000000001,342.0,0.025998099107751447,3,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,3
1669963512.3225217,1.398908257484436,0.64,298.0,43.31292467856794,4,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,1
1669963524.438368,0.1260896921157837,0.66,270.0,59.89787165941125,34,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1669963554.5360107,0.332821249961853,0.685,284.0,56.890796513631535,31,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
