TIME,IP_TOT_RECV_PKTS,IP_FWD,IP_UNK,IP_IN_PKTS_DISC,IP_IN_PKTS_DEL,IP_REQ_SENT,IP_OUT_PKTS_DROP,TCP_ACT_CONN,TCP_PASS_CONN,TCP_FAIL_CONN_ATTMP,TCP_CONN_RES_RECV,TCP_CONN_ESTAB,TCP_SEGM_RECV,TCP_SEGM_SENT,TCP_SEGM_RETANS,TCP_BAD_SEGM_RECV,TCP_REST_SENT,WLAN0_RX_BYTES,WLAN0_RX_PKTS,WLAN0_RX_ERR,WLAN0_RX_DROP,WLAN0_RX_OVERRUN,WLAN0_RX_MCAST,WLAN0_TX_BYTES,WLAN0_TX_PKTS,WLAN0_TX_ERR,WLAN0_TX_DROP,WLAN0_TX_OVERRUN,WLAN0_TX_MCAST
1670232489.9698365,80942,0,0,80519,59264,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.0681896,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.1653614,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.2624743,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.3597362,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.457634,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.556241,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.6532102,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.75055,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.8459806,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232490.941062,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.0370235,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.132129,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.2273536,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.3232763,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.4203565,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.5174644,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.612671,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.708514,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.804072,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.8995454,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232491.9950113,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.0928516,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.189498,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.284643,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.3809423,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.475907,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.5710356,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.6658149,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.7623801,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.8597212,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232492.9548986,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.0509117,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.1463454,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.2415211,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.3371773,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.4337525,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.5326788,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.628898,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.724255,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.8200195,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232493.915731,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
1670232494.0121608,80944,0,0,80521,59266,20,1,76165,57522,1239,0,3,9905005,77329,0,1,0,0,17128347,57352,0,0,0,0,,,,,
