TIME,IP_TOT_RECV_PKTS,IP_FWD,IP_UNK,IP_IN_PKTS_DISC,IP_IN_PKTS_DEL,IP_REQ_SENT,IP_OUT_PKTS_DROP,TCP_ACT_CONN,TCP_PASS_CONN,TCP_FAIL_CONN_ATTMP,TCP_CONN_RES_RECV,TCP_CONN_ESTAB,TCP_SEGM_RECV,TCP_SEGM_SENT,TCP_SEGM_RETANS,TCP_BAD_SEGM_RECV,TCP_REST_SENT,WLAN0_RX_BYTES,WLAN0_RX_PKTS,WLAN0_RX_ERR,WLAN0_RX_DROP,WLAN0_RX_OVERRUN,WLAN0_RX_MCAST,WLAN0_TX_BYTES,WLAN0_TX_PKTS,WLAN0_TX_ERR,WLAN0_TX_DROP,WLAN0_TX_OVERRUN,WLAN0_TX_MCAST
1670266739.6482577,103084,0,0,102102,89856,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266739.7476149,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266739.8588703,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266739.9578984,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.0573184,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.1606882,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.2592075,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.3582315,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.4547625,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.5511138,103085,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401279,93571,0,1,0,0,107894155,120874,0,0,0,0,,,,,
1670266740.6479342,103086,0,0,102103,89857,20,1,90863,121447,3189,0,3,12401527,93572,0,1,0,0,107894155,120874,0,0,0,0,,,,,
