TIMESTAMP,DELAY,ACCURACY,CURRENT,REWARD,ACTION_NUMBER,ACTION_NAME,TASKS,TASKS_DISPATCHED,INPUT_QUEUE
1670280159.2740119,14.604874730110168,0.6799999999999999,3184.0,0.10747291687364881,22,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],1.0,2
1670280165.8345008,0.9241340160369873,0.535,3184.0,50.50645965137118,35,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,1
1670280184.1200182,0.26333022117614746,0.48000000000000004,3184.0,58.81107980595337,35,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1670280215.941994,0.49570536613464355,0.61,3184.0,55.65009958500979,5,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1670280247.2612073,0.754706859588623,0.34500000000000003,3185.0,53.09102182771992,13,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1670280277.8286843,0.2676471471786499,0.515,3185.0,58.66972613711514,17,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1670280303.6562288,0.47287988662719727,0.38,3185.0,56.49342615513785,11,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1670280334.659055,0.21823585033416748,0.42500000000000004,3185.0,59.484574501144685,32,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,0
1670280429.8027847,33.647170543670654,0.435,3187.0,8.076024540839218e-06,21,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,4
1670280435.4711442,1.9502935409545898,0.8300000000000001,3187.0,37.21878207759162,10,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,2
1670280440.6290178,0.24562489986419678,0.585,3187.0,58.75852678763983,11,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,1
1670280459.0032244,0.234624981880188,0.41000000000000003,3187.0,59.31473710047934,29,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,0
1670280484.2975175,0.23259663581848145,0.54,3188.0,59.02096479596033,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,0
1670280515.8089218,0.9761728048324585,0.43999999999999995,3188.0,50.07610075039619,20,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,0
1670280606.3225951,31.430525183677673,0.485,3190.0,2.432976547735221e-05,15,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,4
1670280613.6648886,0.23526787757873535,0.445,3190.0,59.20988350857746,16,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,2
1670280677.9517918,31.377150774002075,0.84,3192.0,2.4107907494409292e-05,9,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,5
1670280681.0108163,0.24327564239501953,0.31500000000000006,3192.0,59.41858761322625,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,3
1670280706.9439766,12.03038763999939,0.515,3192.0,0.39414434346775556,0,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,2
1670280774.7753227,33.085203766822815,0.42,3194.0,1.0699165096628782e-05,27,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,5
1670280840.5528595,31.94565761089325,0.5650000000000001,3196.0,1.8635919653421474e-05,9,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[1. 0.],2.0,7
1670280906.8893075,32.309399247169495,0.39499999999999996,3198.0,1.5797824911656566e-05,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,10
1670280911.105206,0.24288761615753174,0.525,3198.0,58.8906681908843,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[1. 0.],2.0,8
1670280917.8736382,0.257465124130249,0.38,3198.0,59.06513667262456,26,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[1. 0.],2.0,6
1670280923.9003701,0.5316113233566284,0.555,3198.0,55.28235572366831,5,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[1. 0.],4.0,5
1670280961.568415,17.909778952598572,0.505,3199.0,0.020916622794532606,9,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0.5 0.5],2.0,5
1670280965.5834124,1.1360728740692139,0.255,3199.0,48.49248090721948,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,4
1670280996.7481136,14.6197270154953,0.145,3200.0,0.11222239603877412,0,"(('efficientnet-b0', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,4
1670281002.9961083,1.6676030158996582,0.765,3200.0,40.67883968177898,17,"(('efficientnet-b4', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,2
1670281010.2189248,1.1566048860549927,0.9450000000000001,3200.0,46.511701984860295,15,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,1
1670281029.9295225,2.0149940252304077,0.64,3200.0,36.85474028624587,2,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],4.0,0
1670281060.1094618,1.0360116958618164,0.57,3201.0,48.94674876189269,15,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,0
1670281092.0096269,0.33910489082336426,0.085,3201.0,58.77852284652505,32,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1670281119.5204113,1.8480067253112793,0.6950000000000001,3201.0,38.68354802651419,14,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1670281149.58452,1.0906187295913696,0.455,3202.0,48.547565925247774,19,"(('efficientnet-b0', 'gpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1670281181.2160416,1.344863772392273,0.135,3202.0,46.17657282365978,32,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'gpu'))",[0. 1.],2.0,0
1670281253.9199822,23.871702432632446,0.7949999999999999,3204.0,0.0010303636220442614,3,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,3
1670281260.288525,1.1835027933120728,0.485,3204.0,47.30502506846963,33,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,1
1670281273.704495,1.093302607536316,0.5,3204.0,48.392966768275045,15,"(('efficientnet-b4', 'cpu'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,0
1670281298.7584894,1.1419868469238281,0.55,3204.0,47.66056945174226,28,"(('efficientnet-b4', 'gpu'), ('nvidia/segformer-b0-finetuned-ade-512-512', 'edge'))",[0. 1.],2.0,0
1670281370.3811393,21.846036195755005,0.5449999999999999,3205.0,0.002908251952829553,8,"(('efficientnet-b0', 'edge'), ('nvidia/segformer-b1-finetuned-ade-512-512', 'cpu'))",[0. 1.],2.0,3
