TIME,IP_TOT_RECV_PKTS,IP_FWD,IP_UNK,IP_IN_PKTS_DISC,IP_IN_PKTS_DEL,IP_REQ_SENT,IP_OUT_PKTS_DROP,TCP_ACT_CONN,TCP_PASS_CONN,TCP_FAIL_CONN_ATTMP,TCP_CONN_RES_RECV,TCP_CONN_ESTAB,TCP_SEGM_RECV,TCP_SEGM_SENT,TCP_SEGM_RETANS,TCP_BAD_SEGM_RECV,TCP_REST_SENT,WLAN0_RX_BYTES,WLAN0_RX_PKTS,WLAN0_RX_ERR,WLAN0_RX_DROP,WLAN0_RX_OVERRUN,WLAN0_RX_MCAST,WLAN0_TX_BYTES,WLAN0_TX_PKTS,WLAN0_TX_ERR,WLAN0_TX_DROP,WLAN0_TX_OVERRUN,WLAN0_TX_MCAST
1670291750.7384088,170612,0,0,169110,198806,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291750.8410506,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291750.9424713,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.0427532,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.1410818,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.2397497,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.3383625,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.4400983,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.5352592,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.6348765,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.731706,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.8265328,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291751.9212966,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.0160766,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.1107085,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.2055075,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.3018382,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.4002752,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.4960968,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.5913477,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.6859796,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.7807853,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.8763423,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291752.9716544,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.0715113,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.1681314,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.26351,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.3586235,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.4538655,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.5486562,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.6436179,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.7416596,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.8401701,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291753.9359088,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.0307417,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.1256561,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.2209454,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.315945,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.413536,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.512005,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.6072369,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.7020025,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.7971234,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.8920853,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291754.9871519,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.0830114,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.1857622,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.2831864,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.3780568,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.4735148,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.5686946,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.6635218,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.7591336,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.855427,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291755.9524739,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.047189,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.1416526,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.2368207,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.3315887,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.4280248,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.5265896,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.623137,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.718844,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
1670291756.813513,170613,0,0,169111,198807,20,1,149616,343471,4581,0,3,21777629,154316,0,2,0,0,423091504,342894,0,0,0,0,,,,,
